paper_id,transE_score,year
NOVEL_MT_89,12.932023048400879,2021.0
NOVEL_MT_91,13.665584564208984,2021.0
NOVEL_MT_92,13.522566795349121,2021.0
NOVEL_MT_93,13.563952445983887,2021.0
NOVEL_MT_95,13.904352188110352,2020.0
NOVEL_MT_96,12.795108795166016,2021.0
NOVEL_MT_99,13.897395133972168,2021.0
NOVEL_MT_101,13.981867790222168,2021.0
NOVEL_MT_104,13.636482238769531,2021.0
NOVEL_MT_105,13.951889038085938,2021.0
NOVEL_MT_107,13.687520027160645,2021.0
NOVEL_MT_108,13.834253311157227,2021.0
NOVEL_MT_109,13.885429382324219,2021.0
NOVEL_MT_110,13.630891799926758,2021.0
NOVEL_MT_112,14.024214744567871,2021.0
NOVEL_MT_113,13.480456352233887,2021.0
NOVEL_MT_115,13.513771057128906,2021.0
NOVEL_MT_116,13.798371315002441,2021.0
NOVEL_MT_117,13.972525596618652,2021.0
NOVEL_MT_118,13.838223457336426,2021.0
NOVEL_MT_120,13.607391357421875,2021.0
NOVEL_MT_121,12.718299865722656,2021.0
NOVEL_MT_122,13.40047836303711,2021.0
NOVEL_MT_124,12.860745429992676,2021.0
NOVEL_MT_125,13.500807762145996,2021.0
NOVEL_MT_127,13.443325996398926,2021.0
NOVEL_MT_128,12.704638481140137,2021.0
NOVEL_MT_130,13.832588195800781,2021.0
NOVEL_MT_132,13.472273826599121,2021.0
NOVEL_MT_133,13.711252212524414,2021.0
NOVEL_MT_137,13.458873748779297,2021.0
NOVEL_MT_139,12.586562156677246,2021.0
NOVEL_MT_140,13.686408042907715,2021.0
NOVEL_MT_141,13.426681518554688,2021.0
NOVEL_MT_144,12.73332691192627,2021.0
NOVEL_MT_148,13.4732666015625,2021.0
NOVEL_MT_150,12.653982162475586,2021.0
NOVEL_MT_153,13.652772903442383,2021.0
NOVEL_MT_154,12.820365905761719,2021.0
NOVEL_MT_155,13.530657768249512,2021.0
NOVEL_MT_156,13.820478439331055,2021.0
NOVEL_MT_161,12.529512405395508,2021.0
NOVEL_MT_163,13.386249542236328,2020.0
NOVEL_MT_165,14.020724296569824,2021.0
NOVEL_MT_167,12.723798751831055,2021.0
NOVEL_MT_168,13.667004585266113,2021.0
NOVEL_MT_172,12.701659202575684,2021.0
NOVEL_MT_174,13.826748847961426,2021.0
NOVEL_MT_177,13.940436363220215,2021.0
NOVEL_MT_179,12.657793998718262,2021.0
NOVEL_MT_180,12.690873146057129,2021.0
NOVEL_MT_181,13.63220500946045,2021.0
NOVEL_MT_182,13.903592109680176,2021.0
NOVEL_MT_183,13.883749008178711,2021.0
NOVEL_MT_185,12.902097702026367,2021.0
NOVEL_MT_186,12.810588836669922,2021.0
NOVEL_MT_187,12.779656410217285,2021.0
NOVEL_MT_188,13.840923309326172,2025.0
NOVEL_MT_189,12.652746200561523,2021.0
NOVEL_MT_190,13.64585018157959,2021.0
NOVEL_MT_192,13.837601661682129,2021.0
NOVEL_MT_193,13.55032730102539,2021.0
NOVEL_MT_198,12.772711753845215,2021.0
NOVEL_MT_202,12.83177661895752,2021.0
NOVEL_MT_205,13.743762016296387,2021.0
NOVEL_MT_207,12.643135070800781,2021.0
NOVEL_MT_208,12.709667205810547,2021.0
NOVEL_MT_209,13.819587707519531,2021.0
NOVEL_MT_210,13.472622871398926,2021.0
NOVEL_MT_213,12.603202819824219,2021.0
NOVEL_MT_214,13.196934700012207,2021.0
NOVEL_MT_215,12.685554504394531,2021.0
NOVEL_MT_218,13.691396713256836,2021.0
NOVEL_MT_219,13.790863037109375,2021.0
NOVEL_MT_221,13.337010383605957,2021.0
NOVEL_MT_224,12.72814655303955,2021.0
NOVEL_MT_227,13.905259132385254,2021.0
NOVEL_MT_228,13.479974746704102,2021.0
NOVEL_MT_230,13.728438377380371,2021.0
NOVEL_MT_234,13.513489723205566,2021.0
NOVEL_MT_235,13.568941116333008,2021.0
NOVEL_MT_236,13.502355575561523,2021.0
NOVEL_MT_238,13.763254165649414,2021.0
