paper_id,n_triples,mean_dist,min_dist,max_dist,std_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness
NOVEL_MT_250,151,1.9992121,1.4582492,2.7958782,0.43796974,0.0,0.0,0.48405045
NOVEL_MT_252,175,2.1325788,1.4737741,2.7716768,0.4771164,0.0,0.0,0.6183001
NOVEL_MT_253,60,2.0306973,1.516384,2.7011795,0.47317922,0.0,0.0,0.5157441
NOVEL_MT_254,240,2.1999884,1.403844,2.8498428,0.478243,0.0,0.0,0.6861559
NOVEL_MT_255,62,1.9875557,1.4533776,2.7483199,0.47509888,0.0,0.0,0.4723169
NOVEL_MT_256,208,2.0301223,1.4443994,2.8231397,0.48083636,0.0,0.0,0.5151652
NOVEL_MT_257,100,2.1452765,1.3776909,2.70721,0.46589085,0.0,0.0,0.6310819
NOVEL_MT_258,122,2.1565826,1.4809481,2.8600287,0.46525267,0.0,0.0,0.6424628
NOVEL_MT_259,153,2.071828,1.4064589,2.7879224,0.46958348,0.0,0.0,0.55714697
NOVEL_MT_26,135,1.9730073,1.399687,2.7552223,0.4633393,0.0,0.0,0.45767215
NOVEL_MT_261,93,1.9788667,1.4676092,2.7377303,0.4768637,0.0,0.0,0.46357033
NOVEL_MT_262,70,2.1380186,1.5725349,2.8552423,0.47193417,0.0,0.0,0.6237759
NOVEL_MT_264,284,2.150605,1.445413,2.8536868,0.48134592,0.0,0.0,0.6364456
NOVEL_MT_265,49,2.1380322,1.5168153,2.6922786,0.4585849,0.0,0.0,0.62378955
NOVEL_MT_266,74,1.9494765,1.45072,2.6430545,0.45798165,0.0,0.0,0.43398553
NOVEL_MT_267,60,2.153544,1.4798129,2.8178823,0.45209137,0.0,0.0,0.639404
NOVEL_MT_268,43,2.2602038,1.495166,2.746897,0.42836526,0.0,0.0,0.74677
NOVEL_MT_269,225,2.0938356,1.311999,2.6733787,0.48102614,0.0,0.0,0.57930034
NOVEL_MT_270,63,2.0050886,1.5017624,2.768177,0.49887487,0.0,0.0,0.4899658
NOVEL_MT_271,312,1.9761499,1.4320929,2.781725,0.46922866,0.0,0.0,0.46083555
NOVEL_MT_274,227,2.0854163,1.337154,2.8531888,0.46177202,0.0,0.0,0.57082534
NOVEL_MT_275,236,2.2483256,1.4391518,2.7679324,0.4532187,0.0,0.0,0.73481315
NOVEL_MT_277,159,2.0601268,1.4987246,2.6883397,0.4662432,0.0,0.0,0.5453684
NOVEL_MT_280,56,2.0829976,1.4881986,2.786903,0.48736784,0.0,0.0,0.56839055
NOVEL_MT_281,32,2.0596752,1.5479407,2.6290317,0.44087663,0.0,0.0,0.5449138
NOVEL_MT_282,67,2.054185,1.4225254,2.8111029,0.48059344,0.0,0.0,0.53938717
NOVEL_MT_283,90,2.0405145,1.382508,2.6727598,0.47065026,0.0,0.0,0.52562624
NOVEL_MT_284,209,2.0586226,1.4450481,2.785942,0.45898446,0.0,0.0,0.54385424
NOVEL_MT_286,116,2.0621293,1.4805797,2.8961523,0.46816108,0.0,0.0,0.5473841
NOVEL_MT_287,91,1.997231,1.4483347,2.7334354,0.46628436,0.0,0.0,0.4820562
